coachID,OVERALL_ALL_TIME
adamsmi01w,5.8
adubari99w,5.6
aglerbr99w,5.3
allenso99w,6.7
bibbyhe01w,5.6
boguemu01w,3.8
bouceje01w,6.4
brownde01w,4.4
bryanjo01w,7.2
chancva99w,7.0
coopecy01w,6.1
coopemi01w,8.1
cowenda01w,1.8
coylepa99w,5.8
dailesh99w,5.2
darscna99w,5.4
donovan99w,6.1
dunnli99wc,4.4
dunntr01wc,3.0
fortnne99w,5.0
gaineco01w,5.6
grafca99wc,5.8
hargrli99w,4.6
harveca99w,6.1
hugheda99w,5.7
jenkica99w,1.1
kenlaje99w,2.0
keyst99wc,4.2
laceytr99w,4.4
laimbbi01w,7.0
liebena01w,5.2
maherto99w,3.7
mcconsu01w,5.4
mchugma99w,6.0
meadoma99w,1.4
millech99w,7.0
overtbo99w,4.9
peckca99wc,5.4
rollitr01w,5.4
rothsro99w,5.9
sharpli99w,2.7
shumajo01w,2.8
stanlma99w,4.8
thibami99w,7.3
thompka99w,6.4
vandehe99w,3.7
walkeda01w,4.3
weisery99w,8.5
westhpa99w,7.4
whisejo99w,7.8
willifr99w,5.6
willigr99w,2.4
wintebr01w,6.7
zierddo99w,4.6
